F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T
-2,0,0,0,0,0,0,0,0,0,1,5
-6,0,0,0,0,0,0,0,6,-2,1,24
-6,0,-4,0,-2,4,-2,0,-4,-2,1,29
-6,0,0,0,0,0,0,0,0,0,1,5
1248,0,-176,0,-16,0,40,0,-10,0,1,14
21,0,49,0,-58,0,-50,0,5,0,1,14
-14,0,0,0,-4,0,0,0,-4,0,1,29
-2,0,-2,0,-4,0,0,0,-2,0,1,29
2,0,2,2,2,2,2,0,0,0,1,25
2,2,0,0,0,0,0,0,0,0,1,24
-2,0,0,0,0,0,4,0,0,-2,1,29
-14,0,0,0,-6,0,6,0,-2,0,1,29
-2,0,6,-4,-6,0,-2,-2,-2,-2,1,29
2,0,-2,0,-2,-2,2,-2,2,0,1,29
-2,0,0,0,-4,0,0,0,0,0,1,29
-6,0,-2,0,0,0,0,0,0,0,1,29
-2,0,0,0,-6,4,-2,0,-6,-2,1,25
-14,0,-6,0,0,0,0,0,-4,0,1,29
-13,0,49,0,-46,0,-18,0,-5,0,1,14
4,0,0,0,0,-2,0,0,0,0,1,4
-2,0,6,0,0,0,0,0,-6,0,1,29
-10,0,2,0,-2,0,0,0,-4,0,1,29
-14,0,0,0,-6,0,2,0,-4,0,1,29
-6,0,0,0,0,0,2,2,0,-2,1,29
-6,0,4,0,-2,-4,6,0,0,-2,1,29
-6,0,-4,0,-4,0,4,0,4,0,1,29
-2,4,-6,0,0,0,0,-2,2,-2,1,25
-17,0,41,0,-38,0,54,0,-9,0,1,8
-5,0,45,0,-50,0,50,0,-9,0,1,14
-6,0,2,0,0,0,0,0,0,0,1,29
33632,0,-432,0,-144,0,40,0,14,0,1,1
1312,0,464,0,-48,0,136,0,-6,0,1,14
-6,0,-4,0,-4,0,-4,0,-6,-2,1,24
2,2,2,0,0,0,0,0,0,0,1,25
-2,0,0,0,0,0,0,0,0,-2,1,29
-10,0,-6,0,0,0,-2,0,-2,0,1,29
-2,0,0,0,2,-4,-6,0,-2,-2,1,25
-6,0,4,0,0,0,4,0,4,0,1,29
-160,0,720,0,-400,0,200,0,-18,0,1,14
-14,0,2,0,0,0,-2,0,0,0,1,29
-2,0,0,0,0,-2,0,0,0,0,1,5
-6,0,0,0,-4,0,-6,0,-4,0,1,29
-6,0,4,0,-2,-4,2,0,0,-2,1,29
-2,0,4,0,-2,-4,6,0,-6,-2,1,25
-10,0,0,0,-6,0,-2,0,0,0,1,29
-544,0,656,0,-304,0,216,0,-18,0,1,14
-2,0,0,0,-6,4,-2,0,6,-2,1,24
-2,0,0,0,-4,0,0,-2,0,0,1,24
-14,0,4,0,-6,0,0,0,0,0,1,5
-2,0,6,0,0,0,2,0,0,0,1,29
-6,4,-4,0,-6,0,-2,2,-2,-2,1,24
-9,0,9,0,-46,0,22,0,-9,0,1,8
-6,0,6,0,0,0,2,0,0,0,1,29
-11,0,9,0,-10,0,54,0,-11,0,1,14
2,0,4,0,4,0,2,2,0,0,1,24
-6,0,4,0,-4,0,4,0,-2,-2,1,25
-6,0,4,0,-4,0,0,0,-6,-2,1,25
-2,0,-4,0,-4,0,-4,0,0,-2,1,29
-6,0,-2,0,-4,0,2,0,-4,0,1,29
-2,0,-6,-4,-6,0,2,2,0,-2,1,29
-6,0,0,0,-2,0,-6,0,-2,0,1,29
1184,0,-752,0,-16,0,184,0,-6,0,1,14
-14,0,-2,0,-4,0,0,0,0,0,1,29
6,0,2,0,0,2,0,-2,2,0,1,29
-32,0,16,0,0,0,-4,0,2,0,1,1
-6,0,0,0,0,-2,0,0,-2,0,1,29
-10,0,0,0,0,0,-6,0,-2,0,1,29
33,0,1,0,-2,0,-2,0,1,0,1,14
-2,0,0,0,-6,0,-6,0,-6,0,1,29
-6,0,0,0,0,0,4,0,-2,-2,1,25
-2,0,4,0,-2,-4,6,0,-2,-2,1,24
-6,0,6,0,0,0,0,0,-2,0,1,29
-288,0,144,0,-368,0,88,0,-18,0,1,14
-2,0,-2,0,-4,0,-2,-2,0,0,1,29
-2,0,2,0,-4,0,0,0,-2,0,1,29
-10,0,4,0,-6,0,0,0,-4,0,1,29
-6,-4,-2,-4,-6,0,0,-2,0,0,1,25
-2,0,0,0,0,0,2,0,0,0,1,29
-14,0,0,0,-2,0,6,0,-6,0,1,29
33056,0,336,0,80,0,-24,0,-6,0,1,1
-6,0,-2,0,-4,0,0,0,-2,0,1,29
-2,0,0,0,0,0,6,0,0,0,1,29
-6,4,-4,0,-6,0,0,-2,0,0,1,29
-6,0,0,0,0,0,6,0,0,0,1,29
-14,0,6,0,-2,0,2,0,-6,0,1,29
-37,0,17,0,-22,0,14,0,-5,0,1,14
-14,0,2,0,-4,0,0,0,0,0,1,29
-6,0,0,0,-2,2,0,0,0,0,1,29
1056,0,16,0,-16,0,-8,0,2,0,1,14
-2,0,-2,0,-4,0,0,0,-6,0,1,29
-2,0,-6,-4,-2,0,0,-2,-2,-2,1,29
-14,0,6,0,0,0,0,0,-4,0,1,29
-6,0,4,0,-6,0,4,0,-2,0,1,29
-6,0,-4,0,-2,4,-6,0,4,-2,1,29
-10,0,0,0,-4,0,-2,0,-2,0,1,29
-2,0,-2,-4,-6,0,0,2,0,-2,1,29
-6,0,0,0,-6,4,-6,0,0,-2,1,29
-10,0,0,0,-6,0,2,0,-2,0,1,29
-2,0,-4,0,-4,0,-4,0,4,-2,1,29
-2,-4,-6,4,-2,0,0,-2,-2,0,1,25
-2,-4,-4,0,-2,0,0,-2,0,-2,1,25
-2,0,0,0,-2,0,2,0,-4,0,1,29
-14,0,0,0,-4,0,-2,0,-6,0,1,29
-2,0,0,2,0,2,0,0,0,0,1,25
39,0,-11,0,-2,0,10,0,-5,0,1,8
-6,0,0,0,-2,2,0,0,-2,0,1,29
928,0,-752,0,-80,0,184,0,26,0,1,14
-2,0,4,0,-4,0,0,0,4,-2,1,29
-6,0,0,0,0,0,4,0,-6,-2,1,24
-10,0,-2,0,-6,0,-2,0,-2,0,1,29
-6,0,2,0,4,0,-2,0,0,0,1,29
2,0,0,2,2,0,2,0,0,0,1,24
-7,0,-3,0,0,0,-1,0,-1,0,1,1
-2,0,2,0,-2,0,-2,0,-6,0,1,29
-10,0,0,0,-4,0,0,0,-4,0,1,29
-416,0,784,0,-368,0,-72,0,-10,0,1,14
-59,0,37,0,-22,0,26,0,-15,0,1,14
-6,0,2,0,-2,0,2,0,-2,0,1,29
-10,0,6,0,-2,0,2,0,-2,0,1,29
-14,0,0,0,-4,0,0,0,0,0,1,29
-10,0,6,0,-2,0,-2,0,-6,0,1,29
-14,0,0,0,0,0,0,0,-4,0,1,29
-6,0,0,0,-6,4,-6,0,4,-2,1,29
-2,0,4,0,-6,0,4,0,-6,0,1,29
-96,0,-48,0,0,0,-4,0,-2,0,1,1
-2,0,4,0,-2,-4,-6,0,-6,-2,1,24
-2,0,-4,0,-4,0,4,0,4,0,1,29
-6,4,-4,0,-2,0,0,2,-2,0,1,29
2,0,2,0,0,2,-2,0,0,0,1,5
-14,0,-6,0,-4,0,-2,0,-2,0,1,29
-55,0,21,0,-62,0,10,0,-11,0,1,14
-10,0,4,0,-2,0,0,0,0,0,1,5
-10,0,6,0,-4,0,0,0,0,0,1,29
-6,0,4,0,-4,0,0,0,6,-2,1,24
-14,0,-6,0,-6,0,-2,0,-2,0,1,29
-2,4,-2,0,0,0,-2,2,-2,-2,1,24
-6,0,0,0,0,0,0,0,-6,-2,1,25
-2,0,0,0,-6,4,-6,0,-6,-2,1,24
-1184,0,272,0,-176,0,56,0,-10,0,1,14
-3,0,1,0,0,0,3,0,-1,0,1,1
-6,0,0,0,-6,4,6,0,0,-2,1,29
-10,0,-2,0,-2,0,0,0,0,0,1,29
-1888,0,592,0,-176,0,104,0,-30,0,1,14
-6,0,2,0,-2,2,0,0,0,-2,1,29
-2,0,0,-2,0,0,-2,0,0,0,1,24
-2,0,-4,0,-4,0,0,0,0,-2,1,29
-2,0,0,0,0,0,-4,0,4,-2,1,29
-2,0,-4,0,-2,-4,2,0,-2,-2,1,25
-6,0,0,0,-6,4,-2,0,4,-2,1,29
-63,0,25,0,-18,0,38,0,-15,0,1,14
-2016,0,400,0,-144,0,152,0,-30,0,1,14
-2,0,2,0,-6,0,2,0,-6,0,1,29
1,0,0,-1,0,0,0,0,0,0,1,1
-10,0,-2,0,-6,0,0,0,-4,0,1,29
-2,0,-6,0,0,0,2,0,0,0,1,29
-6,0,0,0,-6,0,-6,0,-6,0,1,29
-10,0,0,0,-4,0,0,0,-6,0,1,29
-2,0,0,0,0,0,0,0,4,-2,1,29
