F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,T
2,0,0,0,0,4,0,4,0,0,0,0,0,2,1,44
2,0,0,0,0,0,0,4,0,0,0,4,0,0,1,18
2,0,0,0,0,4,0,4,0,0,0,2,0,2,1,44
10,0,0,0,0,0,0,0,0,4,0,4,0,0,1,18
2,0,0,4,0,0,0,0,0,4,0,4,4,2,1,35
2,0,0,0,0,0,0,4,0,0,0,0,0,0,1,5
2,0,0,0,0,0,0,4,0,0,0,2,0,0,1,35
10,0,0,0,0,0,0,0,0,4,0,0,0,0,1,18
2,0,0,4,0,0,0,0,0,0,0,4,0,4,1,44
2,0,0,4,0,0,0,0,4,0,0,2,0,2,1,44
2,0,0,4,0,0,0,0,0,4,0,0,4,2,1,35
2,0,0,4,0,0,0,0,0,0,0,0,0,4,1,44
2,0,0,4,0,4,0,0,0,0,0,4,4,2,1,44
10,0,0,4,0,0,0,4,0,0,0,4,0,0,1,44
2,0,0,4,0,4,0,0,0,0,0,0,4,2,1,44
10,0,0,4,0,0,0,4,0,0,0,0,0,0,1,44
2,0,0,4,0,0,0,4,0,4,0,4,0,4,1,44
10,4,0,4,0,4,0,0,0,4,0,4,0,0,1,44
2,0,0,4,0,0,0,4,0,4,0,0,0,4,1,18
2,4,0,4,0,4,0,0,0,4,0,4,0,2,1,18
2,0,0,4,0,4,0,4,0,4,0,4,4,2,1,44
10,4,0,4,0,4,0,0,0,4,0,0,0,0,1,44
2,4,0,4,0,4,0,0,0,4,0,0,0,2,1,44
2,0,0,4,0,4,0,4,0,4,0,0,4,2,1,44
2,0,0,4,0,4,0,4,0,0,0,4,0,4,1,44
2,0,0,4,0,4,0,4,4,0,0,2,0,2,1,44
2,4,0,4,0,0,0,0,0,4,0,4,0,0,1,18
10,0,0,4,0,4,0,4,0,4,0,4,0,4,1,18
2,0,0,4,0,4,0,4,0,0,0,0,0,4,1,44
2,4,0,4,0,0,0,0,0,4,0,0,0,0,1,44
2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,5
2,0,0,4,0,0,0,4,0,0,0,4,0,2,1,44
2,0,0,4,0,0,0,4,4,0,0,2,0,0,1,18
2,0,0,0,0,0,0,2,0,0,0,2,0,0,1,18
10,0,0,4,0,4,0,4,0,4,0,0,0,4,1,44
2,0,0,4,0,0,0,4,0,0,0,0,0,2,1,44
2,4,0,4,0,4,0,0,0,0,0,4,0,0,1,44
2,0,0,4,0,0,0,4,0,0,0,2,0,2,1,44
2,0,0,0,0,4,0,0,0,4,0,4,0,4,1,44
