F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F15,F15,F16,T
48,0,144,160,160,256,392,48,416,112,160,20,150,-64,36,-6,1,257
1264,0,-1072,960,-896,-1120,792,-328,276,616,244,236,168,40,24,2,1,228
1296,0,1728,0,648,0,-360,-432,-392,-224,52,76,60,36,8,0,1,170
752,0,352,1312,1488,736,920,1288,1016,368,472,504,218,64,26,8,1,158
1264,0,0,1632,856,0,768,840,216,160,264,144,40,24,24,8,1,228
48,0,192,64,304,32,248,-120,224,144,288,408,202,64,26,8,1,257
1840,0,2288,2240,2496,3424,3216,2968,2660,1912,1320,732,416,132,38,2,1,159
528,0,0,448,-232,0,224,-184,80,64,-24,32,4,-8,0,0,1,228
1104,0,176,416,800,-288,288,-8,128,56,-16,16,10,4,0,0,1,257
144,0,-80,160,104,96,-8,-48,144,128,28,-36,16,36,24,8,1,84
304,0,64,320,232,-32,464,152,-144,368,132,132,116,-4,28,0,1,228
816,0,1232,1344,1016,1184,1872,304,1036,720,-8,388,66,-4,50,-6,1,257
2320,0,2496,1792,1728,1152,1656,792,632,528,200,88,58,0,0,2,1,170
1552,0,2640,1984,2736,3296,2784,3016,2348,1928,1296,764,400,132,38,2,1,159
880,0,-800,864,-344,-992,608,-472,-152,352,84,124,128,-4,28,0,1,157
1264,0,912,-480,1512,288,976,-248,856,424,404,-40,120,56,22,-6,1,85
16,0,64,0,128,0,144,-48,88,0,120,24,24,-8,8,0,1,159
240,0,0,-32,152,0,0,136,44,32,40,24,10,-8,12,-6,1,228
3568,0,3504,2240,-344,768,104,-664,156,-216,-56,80,-6,12,14,0,1,228
176,0,304,-32,288,-352,192,96,112,112,44,12,18,32,24,8,1,159
368,0,-752,832,688,-768,432,416,256,208,68,12,18,32,24,8,1,228
880,0,64,1728,520,256,1496,384,564,528,168,280,162,56,24,2,1,257
272,0,-16,448,-96,-64,256,-136,72,-8,-16,16,-6,4,0,0,1,158
1840,0,-336,-384,-288,160,-184,376,784,712,676,440,242,80,10,2,1,52
144,0,-80,160,96,96,64,-32,104,112,44,12,18,32,24,8,1,228
304,0,688,-320,912,-544,856,-368,520,128,168,44,150,-64,36,-6,1,257
2928,0,3776,-992,3160,-832,1640,336,984,576,264,312,32,-24,30,-6,1,41
16,0,64,0,96,0,48,48,-8,-48,52,12,-42,-4,18,8,1,228
2320,0,1632,736,1168,-192,464,368,88,16,108,36,-38,-4,18,8,1,228
1648,0,-48,3136,2776,1344,1592,1512,1136,872,488,228,160,100,38,8,1,157
16,0,48,0,48,0,80,-40,40,-8,8,16,-6,4,0,0,1,257
16,0,-48,-32,104,-192,448,0,396,400,96,308,78,-4,50,-6,1,257
1264,0,1472,-320,1304,256,1016,544,500,528,344,296,174,56,24,2,1,257
48,0,192,224,344,448,608,536,500,448,372,220,106,52,26,8,1,130
1296,0,-1296,0,1296,0,-408,192,424,32,-20,32,60,8,2,0,1,157
16,0,0,64,8,0,96,24,8,64,24,16,16,8,8,0,1,159
880,0,1520,-160,1624,-1760,1392,24,420,664,-28,-4,74,48,26,8,1,258
400,0,176,352,688,288,112,88,96,56,8,16,10,4,0,0,1,158
240,0,464,128,352,64,200,96,32,128,52,32,32,8,2,0,1,228
176,0,560,288,920,1024,1152,800,812,496,416,180,94,-4,50,-6,1,158
80,0,176,352,280,352,376,296,400,392,208,132,144,100,38,8,1,228
432,0,768,352,424,576,416,408,348,192,140,124,90,52,26,8,1,257
2320,0,-1008,1344,656,192,368,96,200,208,68,12,18,32,24,8,1,159
912,0,-560,128,88,640,960,512,340,320,148,72,42,12,8,2,1,170
1296,0,1728,864,1944,576,2472,912,804,768,272,304,162,56,24,2,1,130
240,0,0,32,16,0,0,0,0,-32,-48,-24,12,32,24,8,1,24
1392,0,256,2400,568,352,2120,608,100,1056,388,-44,210,108,8,2,1,85
1392,0,304,1952,520,736,1440,336,100,224,28,16,30,12,8,2,1,258
16,0,0,64,-8,0,96,-24,12,64,-24,24,10,-8,12,-6,1,228
16,0,64,0,88,0,64,56,92,128,156,124,90,52,26,8,1,257
89,442,1360,1886,1259,-256,-1254,-1204,-440,162,270,144,54,36,24,8,1,10
1840,0,1312,96,1488,992,1512,440,932,32,700,-12,208,-60,50,-6,1,157
1296,0,1728,0,1728,0,1008,-144,376,-32,216,24,40,-8,8,0,1,159
1136,0,0,1056,528,0,128,128,32,-32,-48,-24,12,32,24,8,1,24
16,0,32,0,128,-32,72,120,-68,80,92,-132,28,92,14,-6,1,228
1168,0,1888,-384,1360,-864,-280,-968,-400,256,440,432,202,64,26,8,1,158
16,0,64,32,136,64,328,176,260,288,240,272,174,56,24,2,1,130
240,0,-80,864,1152,64,2232,696,980,872,468,260,184,40,24,2,1,157
1296,0,0,1728,216,0,864,216,72,192,72,48,16,8,8,0,1,159
688,0,0,864,-232,0,576,88,144,160,72,72,16,8,8,0,1,228
240,0,32,64,312,192,88,-16,232,192,92,52,76,36,8,0,1,258
16,0,0,64,-8,0,96,-24,0,64,-24,0,16,-8,0,0,1,159
48,0,-16,-96,144,320,344,664,808,728,548,384,242,80,10,2,1,41
432,0,0,416,328,0,320,152,104,96,88,16,32,8,8,0,1,228
368,0,48,448,360,128,768,376,224,472,388,64,104,56,22,-6,1,85
1648,0,512,1664,-568,-1152,-368,-392,-76,272,440,472,306,136,46,8,1,159
80,0,-32,352,152,-224,648,288,-212,512,324,-68,194,108,8,2,1,36
1168,0,1536,64,800,0,272,48,160,48,-44,-60,-54,-4,18,8,1,157
48,0,80,224,616,608,376,88,148,168,136,24,22,12,14,0,1,228
16,0,48,0,56,0,72,-32,0,16,12,4,28,36,24,8,1,52
48,0,240,160,512,704,848,1176,1188,1208,1008,708,400,132,38,2,1,228
464,0,320,288,704,1088,784,1008,832,752,516,316,242,100,44,2,1,52
144,0,-80,-160,8,-96,88,48,192,16,72,8,48,-28,20,-6,1,130
240,0,640,64,1072,-160,88,360,372,192,84,-148,44,92,14,-6,1,157
976,0,560,992,200,544,664,240,168,224,196,60,32,36,24,8,1,41
240,0,32,64,-120,192,-96,-120,40,-96,112,128,44,16,6,-6,1,257
1296,0,0,1728,-216,0,864,-216,0,192,-72,0,16,-8,0,0,1,159
1584,0,48,2496,1592,192,1384,1480,632,536,464,252,160,100,38,8,1,228
16,0,0,64,24,0,96,72,24,64,72,48,24,24,24,8,1,159
1296,0,1296,0,216,0,408,-264,220,-136,64,56,-6,12,14,0,1,157
464,0,-320,224,640,352,136,-328,188,656,180,-204,44,92,14,-6,1,157
16,0,48,0,40,0,24,64,-24,96,-16,8,48,-28,20,-6,1,257
16,0,64,0,88,0,-8,-80,-120,-64,28,52,60,36,8,0,1,170
16,0,-48,0,80,0,-56,64,104,0,-12,32,44,8,2,0,1,157
752,0,1648,32,1792,192,1640,-336,984,-176,480,-52,166,-64,36,-6,1,130
80,0,176,288,232,352,480,240,188,192,100,40,42,12,8,2,1,170
16,0,0,32,600,576,1200,1208,1180,944,704,504,306,136,46,8,1,159
176,0,-160,256,-48,64,520,264,384,320,176,120,58,0,0,2,1,258
400,0,-512,704,736,-768,112,720,-80,-208,172,108,-26,-4,18,8,1,157
1168,0,2080,192,1856,672,1368,520,812,368,428,44,208,-60,50,-6,1,157
240,0,464,128,152,64,-152,-128,-120,-80,-12,4,28,36,24,8,1,84
1936,0,0,1856,24,0,864,-152,84,192,-56,32,14,-8,12,-6,1,159
1648,0,1888,-832,3112,1088,2008,-768,304,176,704,136,60,-24,30,-6,1,52
1840,0,-1312,1760,-240,-1216,688,-144,128,560,180,316,242,100,44,2,1,84
80,0,96,64,-88,-64,160,72,116,288,464,448,306,136,46,8,1,228
1264,0,1952,160,880,800,280,360,116,-384,-4,-76,28,92,14,-6,1,228
1744,0,1216,928,1584,32,1224,632,392,480,624,528,218,64,26,8,1,257
752,0,976,608,928,1856,1736,1304,1224,1032,764,464,258,80,10,2,1,84
144,0,-48,-160,344,-32,384,344,304,232,292,120,104,56,22,-6,1,36
80,0,240,352,184,640,512,64,500,272,8,252,78,-4,50,-6,1,158
1296,0,-1296,3456,2088,-2304,3360,216,500,1144,172,28,74,48,26,8,1,170
48,0,-128,64,128,0,240,240,232,400,260,260,242,100,44,2,1,84
688,0,288,-576,168,-320,-72,-176,-40,32,116,76,76,36,8,0,1,258
240,0,-96,-64,344,320,496,168,76,112,212,148,90,52,26,8,1,130
240,0,0,-32,248,0,0,-24,96,32,-24,0,32,-8,0,0,1,228
176,0,416,544,712,1088,1152,1256,1228,1056,840,544,322,136,46,8,1,228
16,0,80,-32,120,-96,40,72,-104,56,184,156,144,100,38,8,1,157
432,0,576,1152,576,1152,1520,912,1024,848,644,284,258,100,44,2,1,41
464,0,-320,800,256,-224,1016,-24,76,592,20,116,192,-60,50,-6,1,228
16,0,-48,128,152,-256,512,-232,180,328,20,68,86,48,26,8,1,170
144,0,0,-64,-32,0,96,96,24,64,96,48,24,32,24,8,1,6
48,0,128,0,272,160,200,344,196,256,292,60,192,-60,50,-6,1,228
368,0,336,928,216,416,1024,344,364,424,204,164,102,48,26,8,1,258
144,0,256,320,280,384,592,184,480,240,136,144,32,16,6,-6,1,257
464,0,1056,288,1224,576,1160,464,824,480,256,288,32,-24,30,-6,1,84
16,0,32,0,184,-32,288,136,200,288,236,100,128,-4,28,0,1,157
464,0,1200,448,1552,800,1560,872,924,664,444,228,184,40,24,2,1,228
80,0,-32,-224,160,-192,368,-272,312,0,32,48,24,-8,8,0,1,228
16,0,-48,-32,80,-192,312,104,220,408,220,204,168,40,24,2,1,157
432,0,64,-352,1032,704,400,-136,336,240,160,24,60,16,6,-6,1,158
1392,0,352,1920,568,-544,1496,944,-476,752,500,-92,182,108,8,2,1,85
80,0,320,0,552,0,440,-256,144,144,456,208,44,-24,30,-6,1,84
1168,0,1104,1984,-192,1632,1080,-144,816,256,56,52,150,-64,36,-6,1,130
1296,0,-1024,2880,696,-1440,2520,1104,-540,1072,620,-36,194,108,8,2,1,53
368,0,1120,352,1464,928,1152,1032,592,640,252,156,128,-4,28,0,1,228
528,0,16,832,400,64,424,288,200,160,36,64,44,8,2,0,1,228
432,0,720,1152,720,1440,1624,1144,1248,1048,636,408,258,80,10,2,1,84
528,0,416,-32,512,-64,208,-112,24,-32,80,48,24,-8,8,0,1,228
1296,0,0,1728,648,0,864,648,216,192,216,144,40,24,24,8,1,159
48,0,0,-32,56,0,192,-120,36,32,72,-48,26,-8,12,-6,1,159
16,0,80,0,168,0,208,72,280,136,220,32,104,56,22,-6,1,53
1168,0,144,96,-648,96,120,80,160,176,-8,40,48,-28,20,-6,1,130
144,0,256,320,272,384,504,248,328,272,104,88,58,0,0,2,1,170
6736,0,7952,7584,6512,8384,6432,5256,3820,2632,1608,788,416,132,38,2,1,228
1392,0,1456,1376,1352,800,1312,560,500,288,196,64,58,12,8,2,1,258
1296,0,1296,0,216,0,120,192,-104,256,-96,40,48,-28,20,-6,1,257
880,0,0,928,-184,0,384,-120,24,96,24,48,24,24,24,8,1,228
16,0,48,0,40,0,56,-72,60,-56,48,24,6,12,14,0,1,157
368,0,800,576,1056,320,1672,904,736,576,272,120,58,0,0,2,1,258
16,0,64,0,104,0,80,-40,48,80,136,96,44,16,6,-6,1,158
