F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,T
1,-2,2640,12486,52670,168242,317434,329130,73051,-370390,356918,371036,-219234,271562,428888,312576,109590,-14694,-35672,-16274,1280,6728,5354,3504,2632,1774,980,472,210,88,32,8,1,19
272,0,0,0,192,0,192,192,-120,0,448,448,168,448,296,72,292,384,240,176,296,176,152,224,190,80,88,64,-2,16,6,-6,1,510
464,0,0,0,320,0,320,320,-248,0,64,64,-296,64,-424,-456,-108,-384,-208,-144,32,112,368,408,342,368,296,224,150,80,14,-6,1,510
528,0,0,0,448,0,448,448,448,0,448,448,512,448,640,416,360,384,512,448,464,448,400,336,336,320,272,208,144,80,32,8,1,82
2064,0,0,0,1408,0,1408,1408,440,0,1472,1472,1000,1472,1256,520,504,768,592,464,520,336,248,272,300,272,240,184,120,72,32,8,1,512
1264,0,0,0,-288,0,-288,-288,-776,0,-512,-512,-264,-512,-200,56,296,192,272,240,280,304,264,256,228,176,144,104,48,24,8,0,1,511
16,0,0,0,64,0,64,64,64,0,192,192,64,192,192,96,132,384,128,64,200,64,8,136,132,-64,8,8,-60,8,20,0,1,593
464,0,0,0,768,0,768,768,936,0,1472,1472,1272,1472,1784,1048,944,1536,1520,1264,1400,1392,1096,1168,1284,1072,832,600,336,136,40,8,1,512
1840,0,0,0,3072,0,3072,3072,1296,0,3904,3904,1440,3904,2464,512,1192,3072,1248,736,1416,96,-56,536,474,0,128,96,-102,32,42,-6,1,509
1200,0,0,0,-160,0,-160,-160,632,0,0,0,280,0,600,600,676,960,976,816,920,1136,648,800,910,304,312,208,-66,0,22,-6,1,509
464,0,0,0,-32,0,-32,-32,-96,0,-512,-512,-224,-512,-160,96,120,192,0,-32,312,288,280,536,474,0,128,96,-102,32,42,-6,1,138
1424,0,0,0,2400,0,2400,2400,2208,0,3200,3200,2352,3200,3184,1584,1488,2496,1984,1568,1680,1120,656,688,678,480,384,272,114,48,18,2,1,509
16,0,0,0,64,0,64,64,96,0,192,192,160,192,288,192,208,384,320,256,288,256,160,192,210,128,96,64,18,0,2,2,1,509
48,0,0,0,352,0,352,352,816,0,1408,1408,1344,1408,1664,960,720,960,928,768,720,576,304,224,210,128,96,64,18,0,2,2,1,510
48,0,0,0,192,0,192,192,304,0,576,576,528,576,912,624,688,1152,1056,864,960,864,608,656,690,480,384,272,114,48,18,2,1,510
432,0,0,0,416,0,416,416,616,0,640,640,632,640,824,504,556,576,752,656,600,592,456,336,358,368,296,224,150,80,14,-6,1,138
1104,0,0,0,1664,0,1664,1664,1224,0,2240,2240,1400,2240,2168,1048,1244,2304,1712,1328,1520,1200,576,808,910,304,312,208,-66,0,22,-6,1,138
400,0,0,0,192,0,192,192,264,0,192,192,136,192,264,168,268,384,304,240,256,240,112,152,206,80,88,64,-2,16,6,-6,1,138
1264,0,0,0,1632,0,1632,1632,1624,0,1536,1536,1768,1536,2088,1320,976,960,1232,1072,1008,880,640,408,328,272,240,184,120,72,32,8,1,513
176,0,0,0,96,0,96,96,432,0,896,896,1168,896,2000,1552,1792,2496,2912,2496,2600,2816,2088,2040,2122,1632,1200,832,394,96,10,2,1,510
80,0,0,0,320,0,320,320,568,0,960,960,1064,960,1704,1224,1340,1920,2128,1808,1864,1808,1400,1296,1342,1168,904,656,382,160,38,2,1,509
2032,0,0,0,2464,0,2464,2464,2504,0,3456,3456,3352,3456,4568,2840,2488,3648,3632,3024,2928,2448,1568,1288,1300,1072,832,600,336,136,40,8,1,511
1168,0,0,0,1696,0,1696,1696,48,0,2176,2176,256,2176,960,-128,880,2112,672,320,1024,0,32,592,474,0,128,96,-102,32,42,-6,1,510
1104,0,0,0,1216,0,1216,1216,1008,0,832,832,928,832,1056,640,408,384,416,352,392,352,264,248,226,128,96,64,18,0,2,2,1,0
