F0,F1,F2,F3,F4,T
6,0,2,0,1,3
-5,0,0,0,1,3
6,4,2,0,1,3
5,0,-1,0,1,1
10,8,0,0,1,3
10,0,6,0,1,3
6,0,0,0,1,3
6,0,0,2,1,3
3,0,-6,0,1,3
-9,0,2,0,1,3
4,4,2,0,1,3
22,8,8,0,1,1
10,0,4,0,1,1
14,0,0,0,1,3
6,8,0,0,1,1
-20,0,0,0,1,3
14,4,6,0,1,2
1,-1,0,0,1,1
6,0,12,0,1,3
2,0,12,0,1,1
20,0,2,0,1,1
14,8,0,0,1,1
4,0,-2,0,1,2
6,0,-2,0,1,3
2,0,-2,0,1,3
-9,0,6,0,1,3
3,0,6,0,1,3
14,0,4,0,1,3
18,0,0,0,1,3
2,0,6,0,1,3
2,4,6,0,1,3
1,0,6,0,1,2
22,0,0,0,1,3
4,0,-6,0,1,2
-1,0,2,0,1,3
-2,0,-2,0,1,3
3,0,2,0,1,3
2,4,4,0,1,5
18,0,4,0,1,1
4,0,8,0,1,2
10,0,12,0,1,1
2,0,2,2,1,4
10,4,2,0,1,2
18,0,12,0,1,1
6,4,6,0,1,2
2,2,0,0,1,5
10,0,2,0,1,3
26,0,0,0,1,3
-2,0,2,0,1,3
2,0,0,0,1,3
6,0,4,0,1,3
2,0,0,2,1,3
20,0,-2,0,1,1
3,0,-2,0,1,3
-1,0,6,0,1,3
2,4,0,0,1,5
30,0,0,0,1,3
10,0,0,0,1,3
-4,0,2,0,1,3
