F0,F1,F2,F3,F4,F5,F6,T
14,0,0,0,0,0,1,3
14,0,2,0,0,0,1,11
2,0,0,0,0,2,1,11
8,0,4,0,0,0,1,6
10,0,0,0,0,0,1,3
10,0,2,0,0,0,1,11
2,2,0,0,0,0,1,8
2,2,2,0,0,0,1,7
10,0,0,0,2,0,1,11
8,0,4,0,-4,0,1,1
10,0,2,0,2,0,1,11
6,0,0,0,0,0,1,3
6,0,2,0,0,0,1,11
2,0,0,0,2,0,1,11
6,0,0,2,0,0,1,3
-7,0,1,0,2,0,1,1
2,0,2,0,2,0,1,11
6,0,2,2,0,0,1,11
-3,0,7,0,-13,0,1,6
6,0,0,0,6,0,1,11
24,0,4,0,-4,0,1,1
2,0,2,0,0,0,1,11
14,4,4,0,6,0,1,11
2,0,0,2,0,0,1,3
2,0,2,2,0,0,1,11
-24,0,4,0,0,0,1,6
6,0,2,0,4,0,1,11
2,0,0,0,6,0,1,3
2,4,0,0,0,2,1,8
1,0,1,0,0,0,1,6
-24,0,4,0,4,0,1,1
-8,0,4,0,4,0,1,1
-5,0,0,0,-1,0,1,6
24,0,4,0,0,0,1,6
6,0,0,0,2,2,1,8
9,9,0,3,6,3,1,2
6,0,0,4,0,2,1,11
4,0,0,-2,0,0,1,5
14,0,0,0,6,0,1,11
-8,0,4,0,0,0,1,6
6,0,0,0,0,2,1,11
-1,0,1,0,0,0,1,4
1,-1,0,0,0,0,1,1
-3,0,1,0,-2,0,1,1
2,0,0,0,2,2,1,7
2,0,0,4,0,2,1,11
2,0,2,0,2,2,1,7
