F0,F1,F2,F3,F4,F5,F6,F7,F8,T
18,0,0,0,2,0,0,0,1,17
22,16,8,0,0,0,4,0,1,35
22,16,16,0,0,0,0,0,1,28
26,0,0,0,0,0,8,8,1,35
6,0,0,0,20,0,0,0,1,26
12,0,0,0,20,0,0,0,1,26
18,0,24,0,28,0,0,0,1,28
80,0,0,0,8,0,0,0,1,17
16,0,0,0,48,0,0,0,1,9
14,0,12,0,6,0,4,4,1,9
14,0,0,0,10,0,6,0,1,38
46,0,0,0,0,0,0,0,1,8
2,0,0,0,8,0,6,0,1,35
22,8,12,0,0,0,0,8,1,44
6,0,8,0,2,0,0,0,1,35
88,0,0,0,0,0,12,0,1,44
14,0,0,0,24,8,4,0,1,8
112,0,0,0,0,0,24,0,1,26
6,0,8,0,0,16,20,8,1,35
20,0,0,0,0,16,0,0,1,18
2,16,4,8,2,8,4,0,1,35
14,0,0,0,24,0,4,0,1,35
20,0,0,8,6,0,0,0,1,26
240,0,0,0,8,0,0,0,1,8
6,0,0,0,0,0,12,0,1,35
144,0,0,0,16,0,0,0,1,11
336,0,0,0,0,0,8,0,1,35
6,0,0,0,2,0,6,0,1,38
20,0,0,0,6,0,4,0,1,28
4,16,0,16,2,0,0,0,1,11
10,0,16,0,0,0,24,8,1,35
48,0,0,16,0,0,0,4,1,28
480,0,0,0,0,32,0,0,1,28
22,0,0,0,4,8,8,0,1,19
14,0,0,0,0,0,28,0,1,35
14,8,4,8,10,0,12,8,1,2
2,0,0,0,0,0,8,8,1,35
19,0,12,0,22,0,12,0,1,35
2,0,16,8,6,0,0,0,1,19
22,0,8,0,14,0,0,0,1,35
18,16,0,0,0,0,0,0,1,35
22,0,0,0,14,0,0,0,1,26
28,0,4,0,0,0,0,0,1,44
30,0,4,0,0,0,0,0,1,44
10,0,0,0,0,0,20,0,1,28
10,8,4,8,2,0,0,0,1,11
40,0,0,16,20,0,0,0,1,35
14,8,0,0,10,0,8,0,1,35
80,0,0,0,12,0,8,0,1,21
36,0,0,0,52,0,0,0,1,4
10,0,0,0,6,4,4,0,1,11
18,0,12,0,4,0,0,0,1,44
52,0,8,0,2,0,0,0,1,28
2,0,0,0,0,0,0,4,1,41
14,0,0,16,0,0,4,8,1,35
10,0,4,0,12,0,0,0,1,44
10,0,0,0,6,0,4,0,1,8
6,0,0,0,0,8,4,0,1,15
10,8,0,0,10,0,0,0,1,35
2,16,8,16,0,0,8,0,1,8
10,0,0,0,12,0,0,0,1,16
22,0,4,0,2,0,0,0,1,35
26,0,0,0,20,0,4,8,1,35
2,0,24,8,6,0,4,0,1,19
2,0,0,0,20,0,0,8,1,27
18,0,0,0,4,0,12,0,1,35
30,0,12,0,12,0,0,0,1,44
6,0,0,0,0,0,4,0,1,35
20,0,24,0,2,0,12,4,1,20
26,0,0,0,24,0,20,0,1,28
12,0,0,0,4,0,8,0,1,35
2,0,4,0,4,0,0,0,1,44
30,8,12,0,0,0,0,8,1,44
12,0,4,0,10,4,6,0,1,7
24,0,0,0,60,0,24,0,1,35
2,0,4,0,4,4,0,0,1,24
20,0,16,8,14,0,0,4,1,26
24,0,0,0,32,16,0,0,1,30
36,0,0,0,0,16,0,0,1,21
38,0,8,0,8,0,0,0,1,27
26,0,0,0,28,0,16,8,1,27
6,0,0,0,14,0,4,0,1,35
58,0,0,0,12,0,24,0,1,1
14,0,0,8,14,0,8,0,1,35
12,0,0,0,0,0,28,0,1,38
6,0,4,4,2,0,0,0,1,41
52,0,8,0,2,0,12,0,1,7
10,0,0,0,8,0,6,0,1,35
10,0,0,0,14,0,2,0,1,38
30,0,8,0,14,0,0,0,1,35
30,0,4,0,14,0,0,0,1,31
28,0,4,0,14,0,0,0,1,30
30,0,0,0,14,0,0,0,1,26
14,0,0,0,28,0,8,0,1,15
10,16,24,0,0,0,16,0,1,15
2,0,0,16,28,0,0,16,1,1
10,0,0,0,0,8,4,8,1,26
18,0,0,0,22,0,0,0,1,17
14,0,24,0,0,8,8,0,1,29
10,0,24,0,0,0,0,0,1,35
10,0,0,0,30,0,0,0,1,17
10,0,8,0,8,0,0,0,1,35
30,16,24,0,0,8,0,0,1,29
10,0,0,0,0,0,4,8,1,30
30,0,0,0,0,0,4,0,1,35
28,0,0,0,0,0,4,0,1,38
6,0,0,0,2,0,14,0,1,38
30,16,0,16,0,0,0,8,1,30
23,0,20,0,18,0,12,0,1,27
92,0,0,0,12,0,0,0,1,15
58,0,0,16,0,0,0,0,1,17
24,0,0,0,0,0,0,0,1,15
14,0,20,0,4,0,0,0,1,44
6,0,16,8,2,0,4,0,1,29
16,0,0,0,4,0,12,0,1,11
28,0,32,8,24,0,24,12,1,27
15,0,8,0,14,0,24,0,1,26
22,0,0,0,2,0,4,0,1,6
6,8,0,0,4,0,0,0,1,29
18,0,0,0,10,0,4,0,1,35
20,0,0,8,10,0,0,0,1,26
10,0,0,8,0,0,12,0,1,29
2,0,12,0,6,0,0,4,1,4
4,0,0,0,6,4,6,0,1,28
6,0,0,0,14,0,10,0,1,38
22,8,12,8,14,0,0,8,1,5
6,0,4,0,0,0,0,0,1,44
6,0,4,0,10,0,0,4,1,4
2,0,0,0,14,0,14,0,1,38
7,0,8,0,10,0,0,0,1,6
60,0,0,0,0,0,4,0,1,38
6,0,4,0,0,4,0,0,1,24
14,0,0,0,0,8,0,0,1,20
496,0,0,0,24,0,0,0,1,15
176,0,0,0,24,0,0,0,1,26
26,0,8,0,0,0,0,8,1,35
10,0,16,0,0,8,0,0,1,29
26,0,0,0,18,0,0,0,1,17
28,0,0,0,2,0,6,0,1,30
11,0,0,0,2,0,24,0,1,6
14,0,0,0,0,0,0,0,1,8
22,0,0,0,0,0,24,8,1,30
10,0,0,8,0,0,8,0,1,41
20,0,0,0,2,0,12,0,1,28
14,16,0,0,0,0,0,0,1,28
2,0,0,8,2,0,0,0,1,35
10,0,0,4,0,0,2,0,1,9
22,0,24,0,0,0,0,0,1,27
2,8,0,0,12,0,0,0,1,29
2,0,0,0,10,0,0,0,1,17
2,0,0,16,12,16,0,0,1,7
2,8,4,0,12,0,0,0,1,44
2,0,8,0,10,0,0,0,1,35
2,0,2,0,0,0,0,0,1,44
18,0,0,8,12,0,4,0,1,18
14,0,12,0,4,0,0,0,1,44
368,0,0,0,8,0,16,0,1,26
60,0,0,0,28,16,0,0,1,29
60,0,0,0,12,0,0,0,1,6
2,8,4,0,12,8,0,0,1,44
30,0,0,0,4,8,0,0,1,19
30,8,4,0,0,0,0,0,1,44
10,0,6,0,0,0,0,0,1,44
28,0,0,0,4,0,0,0,1,15
