F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,T
6,9,0,3,-9,0,-3,9,9,-12,-6,0,1,118
-9,0,0,-9,0,0,12,9,9,-12,-3,-6,1,1
3,0,0,-3,0,-3,-3,3,0,3,-3,0,1,212
-3,0,0,3,0,0,0,-3,3,-3,0,-3,1,212
9,27,-27,-9,-27,9,-30,-36,-27,24,-18,12,1,130
-6,0,-9,0,0,9,3,-9,9,-3,-9,-9,1,167
-12,0,9,3,0,0,-3,9,0,6,0,6,1,212
-9,0,0,9,0,9,6,0,-9,12,0,-12,1,215
-6,0,-9,3,0,0,-12,9,-3,-3,12,0,1,14
-81,0,-81,81,0,-54,99,-81,72,9,-108,99,1,131
-12,-9,9,6,0,-9,-6,9,9,0,9,-12,1,212
-36,27,0,36,27,0,-12,-18,18,21,-27,-18,1,119
12,0,0,12,9,0,12,9,9,6,-9,-9,1,167
-9,-27,-27,-27,0,27,15,27,27,39,0,33,1,215
-18,-27,-27,18,27,27,36,9,-36,-18,18,-27,1,70
6,-9,9,-3,0,9,12,0,0,-9,0,0,1,169
3,9,9,3,0,0,-9,-9,0,0,9,9,1,42
3,0,-9,-3,9,0,12,0,0,-6,0,-9,1,167
-3,0,9,-12,-9,0,-3,9,-9,-9,9,6,1,212
-3,-9,0,6,9,0,6,-9,-9,-3,-9,9,1,169
-81,-81,0,54,54,54,-36,0,81,57,87,12,1,173
3,9,-9,-3,9,-9,3,0,-9,12,9,0,1,167
-12,0,0,9,0,-9,6,-9,0,-9,0,-9,1,169
12,-9,0,-3,-9,0,-6,9,-9,6,0,-9,1,42
9,-27,0,-18,0,-27,36,-27,27,30,9,9,1,18
-9,27,0,-18,27,27,-6,-18,36,21,0,-27,1,39
9,-27,-27,-36,0,-27,36,9,0,18,18,18,1,70
-81,0,81,81,0,-81,27,-27,-27,6,9,-114,1,131
3,0,9,-3,9,0,12,0,9,0,-12,0,1,118
-6,9,0,-12,0,9,-3,9,0,9,12,0,1,121
-9,27,0,-9,0,-27,3,-36,36,33,-36,-9,1,119
3,0,0,0,0,0,-3,0,-3,0,0,0,1,42
3,0,0,3,0,0,3,-3,-3,0,3,0,1,212
-3,0,0,0,0,0,0,0,3,3,3,-3,1,42
-3,9,-9,-6,-9,0,-9,-9,-9,9,12,3,1,120
-324,0,0,270,-243,-324,36,189,-216,-255,-36,297,1,170
-81,0,0,0,0,0,90,-81,45,-108,0,81,1,17
-9,0,-9,0,9,9,12,0,12,0,9,9,1,39
6,-9,0,3,0,0,0,0,0,3,-3,6,1,167
36,27,0,18,27,0,18,-9,27,-18,-18,-36,1,70
36,27,-27,-27,-36,-9,18,-27,27,-12,0,-39,1,18
36,0,27,-18,0,-27,30,-18,36,-30,-9,-27,1,70
-6,0,0,-12,-9,0,-12,-9,-3,-9,9,-9,1,42
-3,0,0,0,0,0,0,0,3,0,-3,0,1,42
3,0,0,3,3,-3,0,-3,3,3,0,3,1,42
36,0,0,0,27,-27,24,27,27,-36,27,18,1,16
-3,0,0,-3,0,0,3,0,3,3,0,0,1,167
9,0,0,9,9,-9,-9,-9,-9,12,9,-9,1,130
12,0,9,12,9,-9,0,9,-12,-12,3,9,1,167
324,243,-162,297,243,27,189,-216,-180,-204,126,33,1,131
36,0,0,-18,27,0,9,-36,0,3,27,-9,1,70
3,9,-9,-6,-9,-9,-6,9,0,-9,9,9,1,167
3,9,0,9,0,0,-6,-9,9,0,12,6,1,167
-6,0,0,0,-9,-9,3,-9,9,-12,9,9,1,167
-12,9,-9,-3,0,0,-3,9,-9,-6,-9,-6,1,212
9,0,0,-9,9,0,0,9,0,-3,9,9,1,70
-6,-9,-9,9,0,9,3,0,-9,9,-6,6,1,121
-3,0,0,0,-3,0,3,-3,3,3,3,-3,1,42
6,9,-9,6,0,9,-3,-9,0,3,-12,-9,1,167
-12,9,0,6,9,0,-6,-9,-9,3,-9,0,1,169
6,-9,9,3,0,9,-9,9,9,3,12,-12,1,118
3,-9,-9,0,9,0,-9,-9,9,-3,0,9,1,167
-12,0,0,-3,0,-9,-9,9,9,12,6,-12,1,167
-18,-27,0,18,0,0,18,36,-9,33,18,27,1,18
9,27,-27,18,0,9,-30,-27,0,-12,9,21,1,130
-12,0,0,-6,0,-9,-6,-9,-9,0,-12,0,1,121
12,9,0,3,0,9,3,9,-9,3,-9,0,1,167
-324,243,243,-54,324,324,153,-243,81,240,-117,-315,1,11
12,0,0,-6,-9,0,-9,9,-9,-9,6,3,1,120
-9,0,0,9,-9,-9,-3,9,9,-3,-12,-12,1,41
-18,0,-27,-9,0,0,27,-27,9,12,0,-27,1,70
-12,-9,0,-9,9,0,0,9,0,-12,9,-9,1,120
-162,0,0,162,0,0,117,-135,162,156,135,306,1,39
-3,0,3,3,0,0,0,3,3,3,3,0,1,121
-9,-27,0,18,-27,-18,15,-9,18,-24,9,6,1,215
324,243,-81,-243,81,-54,-261,135,-126,345,-243,30,1,72
18,27,-27,-27,18,-36,-24,-9,-18,-21,-21,-33,1,131
-81,0,0,81,-81,0,-99,-27,-117,-63,90,75,1,73
3,0,0,3,-3,3,0,0,0,3,-3,-3,1,13
18,-27,27,9,27,0,30,-36,9,-3,-33,-30,1,131
