F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,T
42,0,0,0,0,0,0,0,9,1,20
6,0,0,0,0,0,3,0,3,1,15
3,0,0,6,0,0,0,3,3,1,20
54,0,0,63,0,0,12,0,0,1,22
6,6,0,0,0,0,0,0,0,1,19
6,0,0,0,0,0,0,0,3,1,4
3,0,0,18,0,0,6,0,0,1,22
27,0,0,27,0,0,24,0,0,1,4
3,0,0,18,0,0,0,0,0,1,21
6,0,0,9,0,0,0,0,18,1,24
3,0,0,18,0,0,3,0,0,1,24
42,0,0,0,0,0,6,0,9,1,24
15,0,18,0,0,0,3,0,0,1,13
57,0,0,0,0,0,9,0,0,1,3
6,0,54,72,0,0,0,0,9,1,20
3,0,18,12,18,0,24,0,0,1,20
15,0,18,0,0,0,6,0,0,1,8
3,0,0,18,0,18,21,0,18,1,10
12,0,9,15,0,0,12,0,0,1,20
60,27,0,9,0,0,0,0,18,1,24
66,27,54,0,0,0,0,0,18,1,20
6,18,18,15,0,0,0,0,0,1,8
3,0,0,36,0,0,0,0,0,1,21
3,0,0,45,0,0,9,0,18,1,20
12,0,0,0,0,0,0,0,6,1,4
3,0,9,15,0,0,0,0,0,1,20
3,0,0,0,0,0,0,0,18,1,20
30,27,54,0,0,0,0,0,18,1,20
6,18,0,6,0,0,0,0,0,1,24
33,0,0,0,0,0,9,0,0,1,10
6,0,9,21,18,0,0,0,0,1,12
6,0,0,6,0,0,6,3,0,1,20
33,0,0,0,0,0,9,0,18,1,24
12,54,0,0,0,0,0,0,18,1,20
6,18,0,6,0,0,6,0,0,1,24
3,0,0,3,0,0,0,18,0,1,21
3,9,0,24,0,0,6,0,0,1,3
6,0,0,6,0,0,0,3,0,1,20
33,0,0,0,0,18,12,9,9,1,1
3,0,0,9,0,0,0,18,0,1,24
3,0,0,0,0,0,0,3,0,1,19
3,0,0,3,18,0,0,0,0,1,21
3,9,0,24,0,0,3,0,0,1,11
39,54,0,0,0,0,18,0,0,1,21
33,0,0,0,0,0,18,0,0,1,10
54,0,0,0,18,0,3,3,0,1,4
3,0,0,9,18,0,0,0,0,1,18
135,0,0,9,0,0,3,0,6,1,1
3,0,18,0,9,0,3,0,0,1,18
57,0,0,9,0,0,0,9,0,1,21
6,9,0,6,0,0,6,0,0,1,11
3,0,0,6,0,0,24,0,0,1,24
15,0,0,0,0,18,0,0,0,1,11
3,0,18,0,9,0,6,0,0,1,4
3,0,0,0,0,0,21,0,0,1,24
15,9,0,18,0,0,3,0,0,1,17
3,9,9,21,0,0,0,0,0,1,11
3,0,18,3,0,0,0,0,0,1,20
39,0,0,9,0,0,0,0,18,1,20
6,0,0,0,0,9,6,0,0,1,20
3,0,0,6,0,0,15,0,0,1,24
6,0,0,0,0,0,0,18,0,1,24
6,18,0,3,0,0,0,0,6,1,10
6,0,0,0,18,9,9,0,0,1,12
6,0,9,3,0,0,0,0,0,1,20
6,0,0,0,0,9,3,0,0,1,22
6,0,0,0,3,0,0,0,0,1,9
6,0,0,0,0,9,0,0,0,1,18
3,0,0,0,0,0,12,0,0,1,24
42,0,0,0,0,0,0,9,0,1,21
42,0,27,0,0,0,0,0,9,1,20
3,0,18,9,0,0,0,0,0,1,19
15,0,0,45,0,0,0,0,0,1,21
6,0,27,0,0,0,0,0,18,1,24
6,0,18,6,18,0,12,0,0,1,20
6,0,0,0,18,9,0,0,0,1,12
3,0,0,0,0,0,18,0,0,1,10
27,27,0,18,0,0,0,0,0,1,13
3,0,0,3,0,3,3,0,0,1,20
60,0,0,9,0,18,12,0,9,1,1
6,0,0,3,0,0,15,0,0,1,21
21,0,54,72,0,0,0,0,0,1,21
3,0,0,0,0,9,3,9,0,1,20
3,0,0,0,0,9,0,9,0,1,18
3,0,0,0,0,9,12,9,0,1,20
3,0,0,0,0,0,6,0,18,1,22
6,0,18,24,18,9,0,0,0,1,20
